id	Label
144	scaffold_1360.g144
145	scaffold_1360.g145
146	scaffold_1360.g146
147	scaffold_1360.g147
148	scaffold_1360.g148
149	scaffold_1360.g149
150	scaffold_1360.g150
151	scaffold_1360.g151
152	scaffold_1360.g152
153	scaffold_1360.g153
154	scaffold_1360.g154
155	scaffold_1360.g155
156	scaffold_1360.g156
157	scaffold_1360.g157
158	scaffold_1360.g158
159	scaffold_1360.g159
160	scaffold_1360.g160
161	scaffold_1360.g161
162	scaffold_1360.g162
163	scaffold_1360.g163
164	scaffold_1360.g164
165	scaffold_1360.g165
166	scaffold_1360.g166
167	scaffold_1360.g167
168	scaffold_1360.g168
169	scaffold_1360.g169
170	scaffold_1360.g170
171	scaffold_1360.g171
172	scaffold_1360.g172
173	scaffold_1360.g173
174	scaffold_1360.g174
175	scaffold_1360.g175
176	scaffold_1360.g176
177	scaffold_1360.g177
178	scaffold_1360.g178
179	scaffold_1360.g179
180	scaffold_1360.g180
181	scaffold_1360.g181
182	scaffold_1360.g182
183	scaffold_1360.g183
184	scaffold_1360.g184
185	scaffold_1360.g185
186	scaffold_1360.g186
187	scaffold_1360.g187
188	scaffold_1360.g188
189	scaffold_1360.g189
190	scaffold_1360.g190
191	scaffold_1360.g191
192	scaffold_1360.g192
193	scaffold_1360.g193
194	scaffold_1360.g194
195	scaffold_1360.g195
196	scaffold_1360.g196
197	scaffold_1360.g197
198	scaffold_1360.g198
199	scaffold_1360.g199
200	scaffold_1360.g200
201	scaffold_1360.g201
202	scaffold_1360.g202
203	scaffold_1360.g203
204	scaffold_1360.g204
205	scaffold_1360.g205
206	scaffold_1360.g206
207	scaffold_1360.g207
208	scaffold_1360.g208
209	scaffold_1360.g209
210	scaffold_1360.g210
211	scaffold_1360.g211
212	scaffold_1360.g212
213	scaffold_1360.g213
214	scaffold_1360.g214
215	scaffold_1360.g215
216	scaffold_1360.g216
217	scaffold_1360.g217
218	scaffold_1360.g218
219	scaffold_1360.g219
220	scaffold_1360.g220
221	scaffold_1360.g221
222	scaffold_1360.g222
223	scaffold_1360.g223
224	scaffold_1360.g224
225	scaffold_1360.g225
226	scaffold_1360.g226
227	scaffold_1360.g227
228	scaffold_1360.g228
229	scaffold_1360.g229
230	scaffold_1360.g230
231	scaffold_1360.g231
232	scaffold_1360.g232
233	scaffold_1360.g233
234	scaffold_1360.g234
235	scaffold_1360.g235
236	scaffold_1360.g236
237	scaffold_1360.g237
238	scaffold_1360.g238
239	scaffold_1360.g239
240	scaffold_1360.g240
241	scaffold_1360.g241
242	scaffold_1360.g242
243	scaffold_1360.g243
244	scaffold_1360.g244
245	scaffold_1360.g245
246	scaffold_1360.g246
247	scaffold_1360.g247
248	scaffold_1360.g248
249	scaffold_1360.g249
250	scaffold_1360.g250
251	scaffold_1360.g251
252	scaffold_1360.g252
253	scaffold_1360.g253
254	scaffold_1360.g254
255	scaffold_1360.g255
256	scaffold_1360.g256
257	scaffold_1360.g257
258	scaffold_1360.g258
259	scaffold_1360.g259
260	scaffold_1360.g260
261	scaffold_1360.g261
262	scaffold_1360.g262
263	scaffold_1360.g263
264	scaffold_1360.g264
265	scaffold_1360.g265
266	scaffold_1360.g266
267	scaffold_1360.g267
268	scaffold_1360.g268
269	scaffold_1360.g269
270	scaffold_1360.g270
271	scaffold_1360.g271
272	scaffold_1360.g272
273	scaffold_1360.g273
274	scaffold_1360.g274
275	scaffold_1360.g275
276	scaffold_1360.g276
277	scaffold_1360.g277
278	scaffold_1360.g278
279	scaffold_1360.g279
280	scaffold_1360.g280
281	scaffold_1360.g281
282	scaffold_1360.g282
283	scaffold_1360.g283
284	scaffold_1360.g284
285	scaffold_1360.g285
286	scaffold_1360.g286
287	scaffold_1360.g287
288	scaffold_1360.g288
289	scaffold_1360.g289
290	scaffold_1360.g290
291	scaffold_1360.g291
292	scaffold_1360.g292
293	scaffold_1360.g293
294	scaffold_1360.g294
295	scaffold_1360.g295
296	scaffold_1360.g296
297	scaffold_1360.g297
298	scaffold_1360.g298
299	scaffold_1360.g299
300	scaffold_1360.g300
301	scaffold_1360.g301
302	scaffold_1360.g302
303	scaffold_1360.g303
304	scaffold_1360.g304
305	scaffold_1360.g305
306	scaffold_1360.g306
307	scaffold_1360.g307
308	scaffold_1360.g308
309	scaffold_1360.g309
310	scaffold_1360.g310
311	scaffold_1360.g311
312	scaffold_1360.g312
313	scaffold_1360.g313
314	scaffold_1360.g314
315	scaffold_1360.g315
316	scaffold_1360.g316
317	scaffold_1360.g317
318	scaffold_1360.g318
319	scaffold_1360.g319
320	scaffold_1360.g320
321	scaffold_1360.g321
322	scaffold_1360.g322
323	scaffold_1360.g323
324	scaffold_1360.g324
325	scaffold_1360.g325
326	scaffold_1360.g326
327	scaffold_1360.g327
328	scaffold_1360.g328
329	scaffold_1360.g329
330	scaffold_1360.g330
331	scaffold_1360.g331
332	scaffold_1360.g332
1	scaffold_449.g1
2	scaffold_449.g2
3	scaffold_449.g3
4	scaffold_449.g4
5	scaffold_449.g5
6	scaffold_449.g6
7	scaffold_449.g7
8	scaffold_449.g8
9	scaffold_449.g9
10	scaffold_449.g10
11	scaffold_449.g11
12	scaffold_449.g12
13	scaffold_449.g13
14	scaffold_449.g14
15	scaffold_449.g15
16	scaffold_449.g16
17	scaffold_449.g17
18	scaffold_449.g18
19	scaffold_449.g19
20	scaffold_449.g20
21	scaffold_449.g21
22	scaffold_449.g22
23	scaffold_449.g23
24	scaffold_449.g24
25	scaffold_449.g25
26	scaffold_449.g26
27	scaffold_449.g27
28	scaffold_449.g28
29	scaffold_449.g29
30	scaffold_449.g30
31	scaffold_449.g31
32	scaffold_449.g32
33	scaffold_449.g33
34	scaffold_449.g34
35	scaffold_449.g35
36	scaffold_449.g36
37	scaffold_449.g37
38	scaffold_449.g38
39	scaffold_449.g39
40	scaffold_449.g40
41	scaffold_449.g41
42	scaffold_449.g42
43	scaffold_449.g43
44	scaffold_449.g44
45	scaffold_449.g45
46	scaffold_449.g46
47	scaffold_449.g47
48	scaffold_449.g48
49	scaffold_449.g49
50	scaffold_449.g50
51	scaffold_449.g51
52	scaffold_449.g52
53	scaffold_449.g53
54	scaffold_449.g54
55	scaffold_449.g55
56	scaffold_449.g56
57	scaffold_449.g57
58	scaffold_449.g58
59	scaffold_449.g59
60	scaffold_449.g60
61	scaffold_449.g61
62	scaffold_449.g62
63	scaffold_449.g63
64	scaffold_449.g64
65	scaffold_449.g65
66	scaffold_449.g66
67	scaffold_449.g67
68	scaffold_449.g68
69	scaffold_449.g69
70	scaffold_449.g70
71	scaffold_449.g71
72	scaffold_449.g72
73	scaffold_449.g73
74	scaffold_449.g74
75	scaffold_449.g75
76	scaffold_449.g76
77	scaffold_449.g77
78	scaffold_449.g78
79	scaffold_449.g79
80	scaffold_449.g80
81	scaffold_449.g81
82	scaffold_449.g82
83	scaffold_449.g83
84	scaffold_449.g84
85	scaffold_449.g85
86	scaffold_449.g86
87	scaffold_449.g87
88	scaffold_449.g88
89	scaffold_449.g89
90	scaffold_449.g90
91	scaffold_449.g91
92	scaffold_449.g92
93	scaffold_449.g93
94	scaffold_449.g94
95	scaffold_449.g95
96	scaffold_449.g96
97	scaffold_449.g97
98	scaffold_449.g98
99	scaffold_449.g99
100	scaffold_449.g100
101	scaffold_449.g101
102	scaffold_449.g102
103	scaffold_449.g103
104	scaffold_449.g104
105	scaffold_449.g105
106	scaffold_449.g106
107	scaffold_449.g107
108	scaffold_449.g108
109	scaffold_449.g109
110	scaffold_449.g110
111	scaffold_449.g111
112	scaffold_449.g112
113	scaffold_449.g113
114	scaffold_449.g114
115	scaffold_449.g115
116	scaffold_449.g116
117	scaffold_449.g117
118	scaffold_449.g118
119	scaffold_449.g119
120	scaffold_449.g120
121	scaffold_449.g121
122	scaffold_449.g122
123	scaffold_449.g123
124	scaffold_449.g124
125	scaffold_449.g125
126	scaffold_449.g126
127	scaffold_449.g127
128	scaffold_449.g128
129	scaffold_449.g129
130	scaffold_449.g130
131	scaffold_449.g131
132	scaffold_449.g132
133	scaffold_449.g133
134	scaffold_449.g134
135	scaffold_449.g135
136	scaffold_449.g136
137	scaffold_449.g137
138	scaffold_449.g138
139	scaffold_449.g139
140	scaffold_449.g140
141	scaffold_449.g141
142	scaffold_449.g142
143	scaffold_449.g143
